time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month,var_today_yesterday,var_today_avg_week,var_today_avg_month,explicacao
01h,3,5,1,1.85,1.92,-40.0,62.16216216216215,56.250000000000014,aumento acima de 50% comparado à média semanal
02h,1,0,0,0.28,0.82,100.0,257.1428571428571,21.95121951219513,aumento acima de 50% comparado à média semanal
03h,1,0,0,0.42,0.46,100.0,138.0952380952381,117.3913043478261,aumento acima de 50% comparado à média semanal
04h,0,0,1,0.42,0.21,0.0,-100.0,-100.0,queda acima de 50% comparado à média semanal
06h,1,1,5,2.85,2.28,0.0,-64.91228070175438,-56.14035087719298,queda acima de 50% comparado à média semanal
07h,2,3,9,5.57,5.21,-33.33333333333333,-64.09335727109516,-61.61228406909789,queda acima de 50% comparado à média semanal
08h,0,1,18,8.71,10.42,-100.0,-100.0,-100.0,queda acima de 50% comparado à média semanal
09h,2,9,30,20.0,19.07,-77.77777777777779,-90.0,-89.51232302045096,queda acima de 50% comparado à média semanal
10h,55,51,45,29.42,28.35,7.8431372549019605,86.94765465669612,94.00352733686066,aumento acima de 50% comparado à média semanal
12h,51,39,39,27.57,25.42,30.76923076923077,84.98367791077258,100.62942564909518,aumento acima de 50% comparado à média semanal
15h,51,35,49,28.14,27.71,45.714285714285715,81.2366737739872,84.04907975460122,aumento acima de 50% comparado à média semanal
17h,45,30,29,20.42,22.28,50.0,120.37218413320272,101.97486535008974,aumento acima de 50% comparado à média semanal
21h,30,35,34,18.71,17.57,-14.285714285714285,60.34206306787814,70.7455890722823,aumento acima de 50% comparado à média semanal
22h,28,29,23,15.42,15.64,-3.4482758620689653,81.58236057068741,79.02813299232736,aumento acima de 50% comparado à média semanal
